ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
BSR;2026;1;45919538260329.0;8265520701385.0;9235439273806.0;-35814381345344.0;92456214110955.0;37155770276456.0;106786103441091.0;;68778606335250.0;0.0;;;21573800951434.0;15679048692789.0;0
CTD;2025;2;8237210109012.0;201542124323.0;230171396928.0;-910523061737.0;27963158562687.0;20683693565533.0;29701487775326.0;;8965164762201.0;2826000000.0;;;5964211881956.0;1054140173404.0;0
CTD;2025;3;7451776029867.0;294818204842.0;193621108641.0;-929727725893.0;29286881128042.0;21864948944318.0;31177700859982.0;;9260764374068.0;0.0;;;6890146439801.0;1348947708422.0;0
CTD;2025;4;10007247475921.0;227850003196.0;283949227368.0;-952175340515.0;32364954148144.0;24847828148040.0;34442241560979.0;;9385337105553.0;179917904443.0;;;7569293421681.0;1475361043073.0;0
CTD;2026;1;6409416446902.0;118931756167.0;150312978591.0;-971142594028.0;32611007333985.0;23593385917051.0;34686855766741.0;;9502405080416.0;1563304479483.0;;;9067240329871.0;1594288658018.0;0
VCG;2025;2;4387359766248.0;327020431936.0;372581815142.0;-2225090264215.0;17579036964513.0;12905468057200.0;29331841525573.0;;11087357972494.0;4184110481999.0;;;7152263901307.0;1318240663086.0;0
VCG;2025;3;4429332104725.0;3304406337880.0;3512654794989.0;-2274798815404.0;22987166161941.0;13878073282507.0;29020533492254.0;;12267327906529.0;2393745488430.0;;;5203584171560.0;4518753386906.0;0
VCG;2025;4;4651729100684.0;347092178544.0;474832336921.0;-2642577012618.0;24110345573464.0;15910620965371.0;31529887360849.0;;12576215383044.0;2172644957258.0;;;6099838034324.0;4762581140148.0;0
VCG;2026;1;3424420365273.0;368519903329.0;426176318447.0;-2716943145049.0;22698656269601.0;15200772822730.0;30467611567011.0;;12850624412398.0;1844575544628.0;;;5517163393184.0;4848222042964.0;0
HUT;2025;2;8374804250760.0;77134120594.0;141000413158.0;-3623452420962.0;15218302846327.0;9884280352365.0;31456067960484.0;;11517711274004.0;7285601315237.0;;;4025103607073.0;292223882151.0;0
HUT;2025;3;9151524077859.0;486913622388.0;567880612565.0;-3736786765661.0;19257806776617.0;11112598181457.0;35210255347962.0;;13720841535769.0;8202115935588.0;;;4357680023367.0;587267028014.0;0
HUT;2025;4;11815130059516.0;29170486227.0;-208653571759.0;-8869345394417.0;27859090416242.0;17615008031432.0;52231240200353.0;;17942313828174.0;12227303009612.0;;;5935906215498.0;584229973290.0;0
HUT;2026;1;10989328804720.0;53858389272.0;57552274570.0;-9117878503587.0;28247754672899.0;17452098105786.0;53255441340892.0;;18181372741391.0;12658128059625.0;;;5878483346782.0;670848075646.0;0
FCN;2025;2;1326314982713.0;16045213969.0;26262614936.0;-771867977693.0;7422572159050.0;5496020039553.0;11003418095035.0;;3371216650016.0;2115112728250.0;;;1914636340226.0;61055871785.0;0
FCN;2025;3;1142624340275.0;16531543784.0;36324409322.0;-768153452203.0;7507225967803.0;5533711003903.0;11194436941922.0;;3387628918436.0;2252196553649.0;;;2017365744683.0;76273229124.0;0
FCN;2025;4;1572214243882.0;62550673538.0;95938407377.0;-537267696044.0;8204118168733.0;5497471060297.0;10187440470325.0;;3304863710513.0;1365076465132.0;;;3486923508789.0;79706539882.0;0
FCN;2026;1;1302197745510.0;43728762425.0;59281871914.0;-550959241699.0;8087589147113.0;5679871632662.0;10448106303162.0;;3354720471115.0;1330488100178.0;;;3499244018510.0;110634980862.0;0
